year,month,co2
1958,3,315.7
1958,4,317.45
1958,5,317.51
1958,6,317.24
1958,7,315.86
1958,8,314.93
1958,9,313.21
1958,10,312.43
1958,11,313.33
1958,12,314.67
1959,1,315.58
1959,2,316.49
1959,3,316.65
1959,4,317.72
1959,5,318.29
1959,6,318.15
1959,7,316.54
1959,8,314.8
1959,9,313.84
1959,10,313.33
1959,11,314.81
1959,12,315.58
1960,1,316.43
1960,2,316.98
1960,3,317.58
1960,4,319.03
1960,5,320.04
1960,6,319.58
1960,7,318.18
1960,8,315.9
1960,9,314.17
1960,10,313.83
1960,11,315.0
1960,12,316.19
1961,1,316.89
1961,2,317.7
1961,3,318.54
1961,4,319.48
1961,5,320.58
1961,6,319.77
1961,7,318.56
1961,8,316.79
1961,9,314.99
1961,10,315.31
1961,11,316.1
1961,12,317.01
1962,1,317.94
1962,2,318.55
1962,3,319.68
1962,4,320.57
1962,5,321.02
1962,6,320.62
1962,7,319.61
1962,8,317.4
1962,9,316.25
1962,10,315.42
1962,11,316.69
1962,12,317.7
1963,1,318.74
1963,2,319.07
1963,3,319.86
1963,4,321.38
1963,5,322.25
1963,6,321.48
1963,7,319.74
1963,8,317.77
1963,9,316.21
1963,10,315.99
1963,11,317.07
1963,12,318.35
1964,1,319.57
1964,2,320.01
1964,3,320.74
1964,4,321.84
1964,5,322.26
1964,6,321.89
1964,7,320.44
1964,8,318.69
1964,9,316.71
1964,10,316.87
1964,11,317.68
1964,12,318.71
1965,1,319.44
1965,2,320.44
1965,3,320.89
1965,4,322.14
1965,5,322.17
1965,6,321.87
1965,7,321.21
1965,8,318.87
1965,9,317.82
1965,10,317.3
1965,11,318.87
1965,12,319.42
1966,1,320.62
1966,2,321.6
1966,3,322.39
1966,4,323.7
1966,5,324.08
1966,6,323.75
1966,7,322.38
1966,8,320.36
1966,9,318.64
1966,10,318.1
1966,11,319.78
1966,12,321.03
1967,1,322.33
1967,2,322.5
1967,3,323.04
1967,4,324.42
1967,5,325.0
1967,6,324.09
1967,7,322.54
1967,8,320.92
1967,9,319.25
1967,10,319.39
1967,11,320.73
1967,12,321.96
1968,1,322.57
1968,2,323.15
1968,3,323.89
1968,4,325.02
1968,5,325.57
1968,6,325.36
1968,7,324.14
1968,8,322.11
1968,9,320.33
1968,10,320.25
1968,11,321.32
1968,12,322.89
1969,1,324.0
1969,2,324.42
1969,3,325.63
1969,4,326.66
1969,5,327.38
1969,6,326.71
1969,7,325.88
1969,8,323.66
1969,9,322.38
1969,10,321.78
